Birmingham, 2696 John Hawkins Parkway 
Hoover, AL 35244

Dothan, 2756 Ross Clark Circle 
Dothan, AL 36301 

Huntsville, 6364 University Drive NW 
Huntsville, AL 35806 

Mobile, 965 E I-65 Service Road S 
Mobile, AL 36606 

Montgomery, 5175 Woodmere Boulevard 
Montgomery, AL 36106 

Phoenix-Gilbert, 1480 E. Motorplex Loop 
Gilbert, AZ 85297 

Scottsdale, 15350 North Hayden Road 
Scottsdale, AZ 85260 

Tolleson, 1041 N. 99th Avenue 
Tolleson, AZ 85353 

Tucson, 4755 North Oracle Road 
Tucson, AZ 85705 

Bakersfield, 6801 Colony Street 
Bakersfield, CA 93307 

Costa Mesa, 3200 Harbor Boulevard 
Costa Mesa, CA 92626 

Duarte, 1131 Central Avenue 
Duarte, CA 91010 

Fairfield, 2955 Auto Mall Pkwy 
Fairfield, CA 94533 

Fremont, 44100 Christy St. 
Fremont, CA 94538 

Fresno, 7180 North Palm Avenue 
Fresno, CA 93650 

Irvine, 9501 Research Drive 
Irvine, CA 92618 

Buena Park, 6100 Auto Center Drive 
Buena Park, CA 90621 

Burbank, 1000 South Flower Street 
Burbank, CA 91502

Canoga Park, 21300 Roscoe Blvd 
Canoga Park, CA 91304 

LAX, 8611 La Cienega Boulevard 
Inglewood, CA 90301 

Murrieta, 25560 Madison Ave. 
Murrieta, CA 92562

Ontario, 4100 East Inland Empire Blvd. 
Ontario, CA 91764 

Oxnard, 2001 Lockwood St. 
Oxnard, CA 93036 

Palmdale, 405 W. Technology Drive 
Palmdale, CA 93551

Riverside, 7980 Auto Drive 
Riverside, CA 92504 

Torrance, 18020 Hawthorne Boulevard 
Torrance, CA 90504 

Modesto, 4300 McHenry Avenue 
Modesto, CA 95356 

Palm Desert, 73450 Dinah Shore Drive
Palm Desert, CA 92211 

Pleasant Hill, 77 Chilpancingo Parkway
Pleasant Hill, CA 94523 

Pleasanton, 2750 Stoneridge Drive
Pleasanton, CA 94588 

Roseville, 1450 Eureka Road
Roseville, CA 95661 

Sacramento, 8185 E. Stockton Blvd
Sacramento, CA 95828 

Escondido, 830 Dan Way
Escondido, CA 92025 

Kearny Mesa, 7766 Balboa Avenue
San Diego, CA 92111 

Serramonte, 401 Serramonte Blvd.
Colma, CA 94014 

Capitol Expressway, 750 West Capitol Expressway
San Jose, CA 95136 

Santa Rosa, 2783 Corby Avenue
Santa Rosa, CA 95407 

Colorado Springs, 4010 Tutt Boulevard
Colorado Springs, CO 80922 

Loveland, 3760 Byrd Drive
Loveland, CO 80538 

Parker, 18220 Ponderosa Drive
Parker, CO 80134 

South Broadway, 5850 South Broadway
Littleton, CO 80121 

West 104th Ave, 2600 W 104th Ave
Federal Heights, CO 80234 

Golden, 16500 W Colfax Avenue
Golden, CO 80401 

East Haven, 121 Frontage Road
East Haven, CT 06512 

Hartford, 89 Weston Street
Hartford, CT 06120 

Waterbury, 450 Captain Neville Drive
Waterbury, CT 06705 

Newark, 2070 Stafford Way
Newark, DE 19711 

Boynton Beach, 2000 Highridge Road
Boynton Beach, FL 33426 

Clearwater, 2550 Roosevelt Boulevard
Clearwater, FL 33760 

Daytona, 800 N Tomoka Farms Rd.
Daytona Beach, FL 32124 

Ft. Lauderdale, 7420 State Road 84
Davie, FL 33317 

Ft. Myers, 3000 Colonial Blvd.
Ft. Myers, FL 33966 

Gainesville, 4185 N. Main Street
Gainesville, FL 32609 

Jacksonville, 11335 Atlantic Boulevard
Jacksonville, FL 32225 

Jacksonville West, 7438 Blanding Blvd
Jacksonville, FL 32244 

Jensen Beach, 3410 NW Main Ave
Jensen Beach, FL 34957 

Melbourne, 1075 Palm Bay Rd.
Melbourne, FL 32904 

Doral, 1300 NW 98th Court
Doral, FL 33172 

Miami Lakes, 6300 NW 167th Street
